name,createdAt,updatedAt,stars,language,releases,pullRequests,issues,closedIssues
bootstrap,2011-07-29T21:19:00Z,2024-08-21T18:16:34Z,169820,JavaScript,89,8779,22463,22015
computer-science,2014-05-04T00:18:39Z,2024-08-21T18:27:13Z,167553,Unknown,0,267,635,619
AutoGPT,2023-03-16T09:21:07Z,2024-08-21T18:26:57Z,165934,Python,21,1854,2542,2391
flutter,2015-03-06T22:54:58Z,2024-08-21T18:27:07Z,164170,Dart,7,38599,97627,85115
vscode,2015-09-03T20:23:38Z,2024-08-21T18:07:37Z,161724,TypeScript,139,26759,181504,172450
gitignore,2010-11-08T20:17:14Z,2024-08-21T18:02:12Z,160558,Unknown,0,1546,0,0
Python-100-Days,2018-03-01T16:05:52Z,2024-08-21T17:43:18Z,154026,Python,0,13,639,110
the-art-of-command-line,2015-05-20T15:11:03Z,2024-08-21T18:03:38Z,151822,Unknown,0,317,251,132
JavaGuide,2018-05-07T13:27:00Z,2024-08-21T16:31:56Z,145514,Java,0,1044,1032,970
javascript,2012-11-01T23:13:50Z,2024-08-21T17:24:36Z,144347,JavaScript,0,804,1323,1231
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2024-08-21T18:25:46Z,141236,Unknown,0,122,0,0
stable-diffusion-webui,2022-08-22T14:05:26Z,2024-08-21T18:27:41Z,138284,Python,26,1829,7605,5387
youtube-dl,2010-10-31T14:35:07Z,2024-08-21T18:00:30Z,130884,Python,341,1636,26590,22882
transformers,2018-10-29T13:56:00Z,2024-08-21T18:12:48Z,130830,Python,163,13152,15516,14531
awesome-go,2014-07-06T13:42:15Z,2024-08-21T18:06:47Z,127365,Go,0,3228,646,644
fucking-algorithm,2020-02-19T09:01:23Z,2024-08-21T16:07:15Z,124711,Markdown,1,233,829,456
next.js,2016-10-05T23:32:51Z,2024-08-21T18:27:18Z,124193,JavaScript,1000,17937,21002,18129
go,2014-08-19T04:33:40Z,2024-08-21T18:23:57Z,122116,Go,0,1,62984,53892
30-seconds-of-code,2017-11-29T17:35:03Z,2024-08-21T18:14:53Z,120809,JavaScript,10,817,294,294
react-native,2015-01-09T18:10:16Z,2024-08-21T18:27:27Z,117673,C++,336,848,25959,25375
tech-interview-handbook,2016-07-05T05:00:48Z,2024-08-21T18:17:46Z,115516,TypeScript,0,459,93,62
electron,2013-04-12T01:47:36Z,2024-08-21T17:09:39Z,113464,C++,1000,20037,19962,19109
free-programming-books-zh_CN,2013-11-04T01:59:19Z,2024-08-21T15:39:47Z,110886,Unknown,3,282,0,0
kubernetes,2014-06-06T22:56:04Z,2024-08-21T18:26:47Z,109309,Go,690,59158,45644,43786
d3,2010-09-27T17:22:42Z,2024-08-21T18:18:06Z,108312,Shell,194,485,2198,2192
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2024-08-21T18:18:21Z,108278,HTML,0,117,0,0
PowerToys,2019-05-01T17:44:02Z,2024-08-21T17:45:41Z,108207,C#,101,4765,28806,22914
scrcpy,2017-11-21T18:00:27Z,2024-08-21T18:12:48Z,107714,C,39,85,4672,2751
node,2014-11-26T19:57:11Z,2024-08-21T18:22:15Z,106121,JavaScript,403,8597,18017,16435
axios,2014-08-18T22:30:27Z,2024-08-21T18:08:18Z,105051,JavaScript,81,860,4655,4026
create-react-app,2016-07-17T14:55:11Z,2024-08-21T18:19:14Z,102413,JavaScript,83,1944,8300,6545
three.js,2010-03-23T18:58:01Z,2024-08-21T18:08:51Z,101236,JavaScript,159,12834,12473,12081
TypeScript,2014-06-17T15:28:39Z,2024-08-21T18:19:23Z,99745,TypeScript,198,14300,40664,35454
nodebestpractices,2017-09-15T08:33:19Z,2024-08-21T17:53:35Z,98895,Dockerfile,0,765,321,283
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2024-08-21T18:11:37Z,97499,Java,0,0,335,157
rust,2010-06-16T20:39:03Z,2024-08-21T18:13:49Z,96157,Rust,128,57144,53986,44448
angular,2014-09-18T16:12:01Z,2024-08-21T18:26:35Z,95551,TypeScript,352,3606,27882,26486
terminal,2017-08-11T18:38:22Z,2024-08-21T18:13:51Z,94693,C++,117,3851,12586,11092
deno,2018-05-15T01:34:26Z,2024-08-21T17:37:28Z,93729,Rust,288,11139,10530,8646
hello-algo,2022-11-04T11:08:34Z,2024-08-21T18:11:41Z,93479,Java,8,838,205,196
material-ui,2014-08-18T19:11:54Z,2024-08-21T17:54:21Z,93007,TypeScript,487,18793,19207,17517
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2024-08-21T18:24:08Z,91641,Batchfile,15,5,379,375
ant-design,2015-04-24T15:37:24Z,2024-08-21T18:08:33Z,91624,TypeScript,664,14132,29946,28814
clean-code-javascript,2016-11-25T22:25:41Z,2024-08-21T18:06:50Z,91053,JavaScript,0,149,181,84
langchain,2022-10-17T02:58:36Z,2024-08-21T18:24:12Z,91004,Jupyter Notebook,536,11260,7424,6802
HelloGitHub,2016-05-04T06:24:11Z,2024-08-21T18:06:49Z,89462,Python,45,17,2665,2529
java-design-patterns,2014-08-09T16:45:18Z,2024-08-21T18:21:06Z,89051,Java,0,1385,937,801
godot,2014-01-04T16:05:36Z,2024-08-21T17:34:38Z,88116,C++,57,33592,51769,41286
puppeteer,2017-05-09T22:16:13Z,2024-08-21T17:33:44Z,88005,TypeScript,428,4790,6854,6594
vue-element-admin,2017-04-17T03:35:49Z,2024-08-21T10:48:17Z,87384,Vue,49,311,3582,2349
free-for-dev,2015-03-18T21:06:26Z,2024-08-21T18:09:07Z,86610,HTML,0,2534,0,0
papers-we-love,2013-12-15T14:31:41Z,2024-08-21T18:02:09Z,86224,Shell,0,429,236,217
ollama,2023-06-26T19:39:32Z,2024-08-21T18:27:50Z,86038,Go,87,1496,4071,3036
thefuck,2015-04-08T15:08:04Z,2024-08-21T13:43:56Z,84224,Python,17,482,725,470
storybook,2016-03-18T04:23:44Z,2024-08-21T18:09:23Z,83801,TypeScript,1000,10169,12684,10836
iptv,2018-11-14T22:00:57Z,2024-08-21T17:43:02Z,83684,JavaScript,0,6311,8232,8204
frp,2015-12-21T15:24:59Z,2024-08-21T14:54:15Z,83659,Go,99,626,3477,3425
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2024-08-21T15:15:43Z,82694,JavaScript,0,478,288,235
Awesome-Hacking,2016-03-30T15:47:10Z,2024-08-21T18:16:36Z,81705,Unknown,0,31,0,0
pytorch,2016-08-13T05:26:41Z,2024-08-21T18:03:04Z,81504,Python,54,5829,44313,30616
every-programmer-should-know,2017-08-24T13:18:26Z,2024-08-21T17:48:38Z,81342,Unknown,0,99,51,21
tailwindcss,2017-10-06T14:59:14Z,2024-08-21T16:19:04Z,81338,TypeScript,228,2171,3345,3311
tauri,2019-07-13T09:09:37Z,2024-08-21T17:56:31Z,81062,Rust,1000,4267,4342,3443
neovim,2014-01-31T13:39:22Z,2024-08-21T18:20:44Z,81012,Vim Script,38,13403,11568,10115
yt-dlp,2020-10-26T04:22:55Z,2024-08-21T18:15:10Z,80482,Python,91,2208,7584,6198
animate.css,2011-10-12T10:07:38Z,2024-08-21T17:12:30Z,80450,CSS,22,315,864,841
realworld,2016-02-26T20:49:53Z,2024-08-21T18:27:58Z,80154,TypeScript,0,429,531,493
excalidraw,2020-01-02T01:04:43Z,2024-08-21T16:09:36Z,79586,TypeScript,13,3414,3447,1985
django,2012-04-28T02:47:18Z,2024-08-21T18:25:26Z,78563,Python,0,9112,0,0
nvm,2010-04-15T17:47:47Z,2024-08-21T18:26:23Z,78367,Shell,67,708,2181,1889
app-ideas,2019-02-25T18:36:56Z,2024-08-21T18:16:43Z,78193,Unknown,0,149,145,43
svelte,2016-11-20T18:13:05Z,2024-08-21T17:57:29Z,77985,JavaScript,254,4604,6884,6088
bitcoin,2010-12-19T15:16:43Z,2024-08-21T17:30:13Z,77968,C++,51,14347,8099,7740
laravel,2011-06-08T03:06:08Z,2024-08-21T16:10:06Z,77842,PHP,170,1578,0,0
opencv,2012-07-19T09:40:17Z,2024-08-21T17:46:30Z,77558,C++,63,12286,10687,8220
gin,2014-06-16T23:57:25Z,2024-08-21T17:44:29Z,77538,Go,26,1025,2220,1621
mall,2018-04-04T01:11:44Z,2024-08-21T17:13:13Z,77015,Java,3,1,492,470
models,2016-02-05T01:15:20Z,2024-08-21T16:17:07Z,76909,Python,46,2327,7272,6205
FiraCode,2014-11-11T19:32:38Z,2024-08-21T17:03:39Z,76494,Clojure,29,132,1324,934
